price,price_per_sqfoot,bedrooms,bathrooms,square-foot
3500,2.936241611,3,2,1192
1350,0.718085106,3,2,1880
4600,2.791262136,3,3,1648
1350,0.718085106,3,2,1880
1400,0.687960688,3,2,2035
940,0.932539683,3,1,1008
1100,1.046622265,3,2,1051
2625,3.28125,2,1,800
1025,0.834690554,3,2,1228
1250,0.899280576,3,2,1390
3350,3.764044944,1,1,890
1150,0.909810127,3,2,1264
1300,0.944767442,4,2,1376
1375,0.740043057,3,2,1858
1050,0.680492547,3,2,1543
1500,1.046025105,3,2,1434
1150,0.952775476,3,2,1207
1395,0.840867993,3,2,1659
1300,1.155555556,3,2,1125
1275,1.020816653,3,2,1249
1200,1.03626943,3,2,1158
2975,2.479166667,3,1,1200
1000,0.888099467,3,2,1126
1100,1.009174312,3,2,1090
3575,3.25,3,2,1100
1225,0.873751783,3,2,1402
1225,0.873751783,3,2,1402
1700,2.809917355,0,0,605
1225,0.812873258,3,2,1507
1200,0.833333333,3,2,1440
2800,3.027027027,2,2,925
1450,1.030561478,3,2,1407
1025,0.924256087,3,2,1109
1275,0.572262118,3,2,2228
3250,3.939393939,2,1,825
1750,1.658767773,2,2,1055
1100,0.840336134,3,2,1309
1225,1.000816993,3,2,1224
1225,0.984726688,3,2,1244
3600,4.390243902,1,1,820
2750,2.291666667,3,1,1200
3229,3.715765247,2,1,869
2000,3.636363636,1,1,550
1150,0.68574836,3,2,1677
1305,0.618190431,3,2,2111
2795,6.867321867,1,1,407
3600,3.272727273,4,1,1100
3000,2,2,2,1500
2545,3.915384615,1,1,650
2060,2.288888889,2,1,900
2375,2.375,3,1,1000
3200,3.2,3,2,1000
2350,1.450617284,3,2,1620
1750,1.251788269,3,2,1398
2300,2.628571429,1,1,875
1550,0.959752322,3,2,1615
995,1.075675676,2,1,925
2500,0.964506173,3,2,2592
1099,1.099,3,1,1000
1075,1.327160494,1,0,810
850,1.0625,2,1,800
1495,0.985497693,3,1,1517
3575,3.575,3,1,1000
2200,0.680272109,3,2,3234
2350,3.523238381,1,1,667
2600,2.974828375,2,1,874
2500,2.941176471,2,1,850
1600,1.204819277,3,1,1328
2900,0.828571429,6,3,3500
3400,3.613177471,2,2,941
895,0.27864259,2,1,3212
1125,1.25,2,1,900
2275,1.446280992,2,2,1573
1250,0.634517766,2,1,1970
2200,3.120567376,1,1,705
1750,1.013904983,3,2,1726
950,1.1875,2,1,800
3200,2.96570899,2,1,1079
895,0.81959707,3,1,1092
7500,5.172413793,2,2,1450
2800,3.783783784,1,1,740
1250,1.016260163,2,2,1230
950,1.1875,2,1,800
3700,4.636591479,1,1,798
850,1.03030303,2,1,825
1000,0.78125,4,1,1280
2700,0.9,4,4,3000
995,1.195913462,2,1,832
7500,5.494505495,2,2,1365
638,1.276,1,1,500
2600,4,1,1,650
5200,2.476190476,3,3,2100
710,0.969945355,2,1,732
500,0.637755102,1,1,784
2500,2.525252525,1,1,990
5500,4.583333333,2,2,1200
850,0.892857143,3,1,952
899,0.899,2,1,1000
5500,4.661016949,2,2,1180
11000,5.789473684,3,2,1900
1723,2.980968858,0,1,578
2725,2.930107527,2,1,930
2750,4.937163375,0,1,557
1789,2.808477237,0,1,637
360,0.654545455,0,1,550
1893,2.551212938,1,1,742
1595,1.329166667,2,2,1200
515,0.56407448,2,1,913
1996,2.892753623,1,1,690
1921,2.588948787,1,1,742
1500,1.5,2,2,1000
7600,5.946791862,2,2,1278
4500,5.960264901,1,1,755
6350,4.233333333,4,2,1500
6000,4.545454545,2,2,1320
6000,4.545454545,2,2,1320
3300,3.107344633,2,2,1062
1400,1.417004049,3,1,988
750,0.892857143,2,1,840
1100,1.1,2,1,1000
4195,5.412903226,1,1,775
6990,4.722972973,2,2,1480
3600,6,1,1,600
2275,2.660818713,1,1,855
9000,3.623188406,4,3,2484
7200,3.402646503,3,2,2116
1350,1.5,2,1,900
5500,4.790940767,2,2,1148
1650,0.93537415,3,2,1764
4100,5.209656925,1,1,787
1888,2.517333333,1,1,750
600,0.810810811,2,1,740
425,0.472222222,2,1,900
900,0.705882353,2,1,1275
5400,4.5,2,2,1200
1795,1.831632653,1,1,980
4100,5.080545229,1,1,807
2100,2.625,1,1,800
395,0.9875,1,1,400
6600,4.988662132,2,2,1323
500,0.714285714,2,1,700
1495,1.993333333,2,1,750
3200,0.778588808,4,3,4110
7750,6.165473349,2,2,1257
1275,1.024096386,2,2,1245
900,0.692307692,2,1,1300
975,0.696428571,3,2,1400
1875,2.334993773,0,1,803
1050,0.990566038,3,2,1060
1550,2.384615385,0,1,650
2000,3.076923077,1,1,650
500,0.589622642,1,1,848
750,0.75,2,1,1000
4900,5.051546392,1,2,970
4350,6.01659751,1,1,723
3744,6.028985507,1,1,621
3300,4.694167852,1,1,703
6000,5.454545455,2,1,1100
900,1,2,2,900
1500,1.666666667,1,1,900
525,1.235294118,0,1,425
2595,0.929108485,5,3,2793
14000,7.146503318,3,3,1959
3846,6.085443038,1,1,632
2530,4.903100775,0,1,516
2868,6.345132743,0,1,452
11500,6.094329624,3,3,1887
4750,3.137384412,2,1,1514
10500,4.772727273,3,2,2200
650,0.534979424,2,1,1215
2195,1.995454545,2,2,1100
7250,6.041666667,4,2,1200
2350,2.611111111,1,1,900
4250,2.664576803,2,2,1595
2500,3.846153846,1,1,650
575,0.958333333,1,1,600
600,0.857142857,1,1,700
18000,4.864864865,11,4,3700
3900,5.2,2,1,750
1595,0.613225682,5,2,2601
1195,0.811820652,3,2,1472
3395,3.395,3,1,1000
1189,0.792666667,2,2,1500
3700,7.07456979,1,1,523
1250,0.954198473,2,2,1310
710,0.71,3,1,1000
795,1.517175573,1,1,524
725,0.604166667,2,1,1200
3800,3.304347826,2,1,1150
3500,3.286384977,2,2,1065
2695,3.33539604,2,2,808
3295,3.581521739,1,1,920
8575,4.466145833,3,3,1920
8365,3.927230047,3,3,2130
8825,3.677083333,3,3,2400
5895,3.275,4,2,1800
4595,3.829166667,3,2,1200
650,0.541666667,3,1,1200
750,0.535714286,3,1,1400
1590,1.774553571,2,1,896
685,0.896596859,2,1,764
270,0.198237885,3,2,1362
1600,1.454545455,2,2,1100
675,0.823170732,2,1,820
795,0.717509025,3,1,1108
2700,4.623287671,1,1,584
2300,4.181818182,0,1,550
1875,3.125,1,1,600
4812,6.037641154,2,2,797
350,0.388888889,1,1,900
950,0.791666667,3,1,1200
3600,3.138622493,2,2,1147
985,0.961914063,3,2,1024
1500,1.578947368,2,1,950
3850,3.232577666,3,2,1191
2050,2.789115646,1,1,735
4900,4.272013949,2,2,1147
1600,3.106796117,0,1,515
550,0.501824818,2,1,1096
775,0.507863696,3,1,1526
1249,1.921538462,1,1,650
2375,2.5,2,1,950
485,0.494897959,2,1,980
530,0.481818182,2,1,1100
4000,2.840909091,2,2,1408
1925,1.283333333,2,2,1500
1795,2.277918782,1,1,788
1975,3.291666667,1,1,600
2450,2.882352941,1,1,850
2295,2.86875,3,1,800
1850,1.85,2,1,1000
1149,1.915,0,1,600
2250,1.914893617,3,2,1175
776,0.739047619,3,2,1050
495,0.511892451,2,1,967
750,0.681818182,2,2,1100
995,0.829166667,1,1,1200
875,1.25,2,1,700
7000,6.102877071,2,2,1147
475,0.904761905,1,1,525
5650,6.277777778,1,1,900
1200,1.301518438,3,1,922
6224,6.199203187,2,2,1004
3775,6.376689189,1,1,592
3308,7.038297872,0,1,470
7904,7.456603774,2,2,1060
3650,5.221745351,1,1,699
